Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Last Funding Date,Number of Funding Rounds,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount
XCube R&D Inc,https://www.crunchbase.com/organization/xcube-r-d-inc,,"Nashua, New Hampshire, United States","Testing and training of deep learning algorithms, efficient development of safety critical autonomous systems","31,526",8/1/15,,5/1/16,1,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
"Insense Ads, Inc.",https://www.crunchbase.com/organization/insense-2,"Media and Entertainment, Internet Services, Content and Publishing","New York, New York, United States",Insense connects curated brands and content creators to bring relevant branded content to Instagram,"32,391",8/1/15,,8/9/16,1,"$130,000 ",Seed,"$130,000 ","$130,000 ","$130,000 "
FROTH - First Round on the House,https://www.crunchbase.com/organization/froth,"Apps, Media and Entertainment, Food and Beverage, Events, Software","New York, New York, United States",FROTH is a data-driven experiential marketing platform that connects beverage brands with online consumers through offline experiences.,"35,182",8/1/15,,6/6/16,1,"$40,000 ",Seed,"$40,000 ","$40,000 ","$40,000 "
Fruitspot Marketplace,https://www.crunchbase.com/organization/fruitspot-marketplace,"Agriculture and Farming, Commerce and Shopping, Food and Beverage, Financial Services, Lending and Investments","New York, New York, United States",Fruitspot is the fastest B2B marketplace to trade fresh products,"35,878",8/1/15,,11/1/15,1,"$150,000 ",Seed,"$150,000 ","$150,000 ","$150,000 "
"Brainbuild, Inc.",https://www.crunchbase.com/organization/brainbuild,"Sports, Health Care","Durham, North Carolina, United States",Automated Athlete Health Planning,"36,208",8/1/15,,12/29/16,2,"$100,000 ",Seed,"$100,000 ","$100,000 ","$105,000 "
ProDay,https://www.crunchbase.com/organization/proday,"Apps, Software, Internet Services, Mobile","San Francisco, California, United States",Mobile app that lets anyone work out with professional athletes. Anytime. Anywhere.,"36,705",8/1/15,,8/24/15,1,"$20,000 ",Seed,"$20,000 ","$20,000 ","$20,000 "
Phoenix Filming,https://www.crunchbase.com/organization/phoenix-filming,"Hardware, Media and Entertainment, Consumer Electronics, Events, Sports, Consumer Goods, Video, Content and Publishing","United States, North America",Using Drones to Film Sporting Events,"40,419",8/1/15,,4/4/16,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
SurgeCurve,https://www.crunchbase.com/organization/surgecurve,"Media and Entertainment, Video","Tampa, Florida, United States",Easily create an engaging online experience and convert prospects more efficiently.,"44,926",8/1/15,,8/20/15,1,"$260,000 ",Seed,"$260,000 ","$260,000 ","$260,000 "
Cipher Skin,https://www.crunchbase.com/organization/cipher-skin,,"Wheat Ridge, Colorado, United States",Biomedical sensors and Research company focused on licensing,"56,074",8/1/15,,5/1/17,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
Reflect,https://www.crunchbase.com/organization/reflect-technologies,"Information Technology, Data and Analytics, Software, Design","Portland, Oregon, United States",Reflect is the data visualization platform for developers.,"12,410",7/31/15,,7/26/16,2,"$2,500,000 ",Seed,"$2,500,000 ","$2,600,000 ","$2,600,000 "
RealKey,https://www.crunchbase.com/organization/realkey,"Apps, Real Estate, Software, Financial Services","San Francisco, California, United States","A unified platform for to simplify, guide, automate, and update ALL parties involved during the mortgage and real estate process.","14,131",7/27/15,,2/15/16,1,"$800,000 ",Seed,"$800,000 ","$800,000 ","$800,000 "
Slash,https://www.crunchbase.com/organization/slash-2,"Apps, Software, Internet Services","New York, New York, United States","Search anything, Share anywhere.","13,071",7/25/15,,12/9/15,2,"$1,300,000 ",Seed,"$1,300,000 ","$1,400,000 ","$1,400,000 "
VoyageUp,https://www.crunchbase.com/organization/voyageup,"Apps, Software, Internet Services","Newark, Delaware, United States","Its an app which lets you discover people, deals, business in your tribe i.e. the Wi-Fi network you are connected to","35,312",7/25/15,,3/20/16,1,"$22,500 ",Seed,"$22,500 ","$22,500 ","$22,500 "
Spherical Defence Labs,https://www.crunchbase.com/organization/spherical-defence-labs,"Commerce and Shopping, Information Technology, Privacy and Security","Walnut, California, United States",Spherical Defence Labs offers a structured API web application firewall using neural networks.,"28,846",7/24/15,,3/10/17,3,"Â£15,000",Seed,"Â£15,000","$18,262 ","$23,530 "
Popwallet,https://www.crunchbase.com/organization/popwallet,"Data and Analytics, Software, Sales and Marketing, Artificial Intelligence, Mobile","New York, New York, United States",Mobile Wallet Marketing Automation,"5,535",7/22/15,,5/15/17,2,"$200,000 ",Seed,"$200,000 ","$1,200,000 ","$1,200,000 "
TourWithMe Inc.,https://www.crunchbase.com/organization/tourwithme-inc,"Media and Entertainment, Sales and Marketing, Content and Publishing, Mobile","New York, New York, United States",B2BC high growth technology company.,"21,031",7/21/15,,12/25/16,3,"$80,000 ",Seed,"$80,000 ","$210,000 ","$210,000 "
USDrobotics Inc,https://www.crunchbase.com/organization/usdrobotics-inc,"Transportation, Privacy and Security","Winter Garden, Florida, United States",Safe Control Systems for Autonomous Vehicles,"42,250",7/20/15,,10/1/15,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
SportChirp,https://www.crunchbase.com/organization/sportchirp,"Sports, Professional Services","Roswell, Georgia, United States","The first website dedicated to reviewing teams, coaches and organizations across all sports and levels.","57,946",7/19/15,,8/1/15,1,"$20,000 ",Seed,"$20,000 ","$20,000 ","$20,000 "
Qrvey,https://www.crunchbase.com/organization/qrvey,Internet Services,"Virginia, United States, North America",Qrvey is a Feedback Automation platform.,"23,715",7/15/15,,9/26/16,1,"$1,200,000 ",Seed,"$1,200,000 ","$1,200,000 ","$1,200,000 "
StreetInfoTech,https://www.crunchbase.com/organization/parkwise-2,Transportation,"Boston, Massachusetts, United States",Intelligent Transportation System for connected vehicles.,"27,058",7/15/15,,6/15/15,1,"$800,000 ",Seed,"$800,000 ","$800,000 ","$800,000 "
AgentRave,https://www.crunchbase.com/organization/agentrave,"Real Estate, Internet Services","Lilburn, Georgia, United States",AgentRave.com is a web-based platform that connects homeowners and prospective homebuyers with real estate professionals in North America,"58,691",7/15/15,,8/15/15,1,"$45,000 ",Seed,"$45,000 ","$45,000 ","$45,000 "
JoyFLIPS,https://www.crunchbase.com/organization/joyflips,"Media and Entertainment, Software, Internet Services, Content and Publishing","San Francisco, California, United States",JoyFLIPS offers technology allowing users to scan the trillions of legacy paper photos worldwide and share the stories they tell.,"44,451",7/14/15,,4/16/14,1,"$200,000 ",Seed,"$200,000 ","$200,000 ","$200,000 "
GamerFame,https://www.crunchbase.com/organization/gamerfame,"Gaming, Financial Services","Boston, Massachusetts, United States","GamerFame is a platform that allows gamers to monetize their passion, where they can challenge each other in video games in cash.","53,799",7/13/15,,1/1/16,1,"$70,000 ",Seed,"$70,000 ","$70,000 ","$70,000 "
Kainoa,https://www.crunchbase.com/organization/kainoa,"Hardware, Consumer Electronics, Internet Services, Mobile","Brooklyn, New York, United States","Save - QA Testing Rent as many mobile devices as you want, for only $7.99 a month.","44,457",7/10/15,,6/10/15,1,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
Watchity,https://www.crunchbase.com/organization/watchity,"Media and Entertainment, Video","Mountain View, California, United States",The collaborative live video platform,,7/9/15,,6/21/17,1,"â‚¬600,000",Seed,"â‚¬600,000","$669,142 ","$669,142 "
RendrFX,https://www.crunchbase.com/organization/rendrfx,"Media and Entertainment, Software, Sales and Marketing, Internet Services, Video, Design","Erie, Pennsylvania, United States",RendrFX is a SaaS based online motion graphics video creation platform enabling businesses and consumers to create customized HD videos.,"29,668",7/7/15,,8/20/16,1,"$667,000 ",Seed,"$667,000 ","$667,000 ","$667,000 "
Complia,https://www.crunchbase.com/organization/complia,,"Centennial, Colorado, United States","Complia is an alert-based license management tool that simplifies cannabis compliance by automating government filings, and record keeping.","30,990",7/7/15,,1/29/16,1,"$600,000 ",Seed,"$600,000 ","$600,000 ","$600,000 "
ZipSit,https://www.crunchbase.com/organization/zipsit,"Apps, Information Technology, Software, Sales and Marketing, Health Care, Mobile","Scottsdale, Arizona, United States",A mobile technology platform that connects parents and trusted sitters at the tap of a button.,"21,964",7/6/15,,3/15/16,1,"$750,000 ",Seed,"$750,000 ","$750,000 ","$750,000 "
EFynch.com,https://www.crunchbase.com/organization/efynch-com,"Apps, Commerce and Shopping, Real Estate, Software, Internet Services, Mobile","Baltimore, Maryland, United States",Connecting property owners to contractors using a proprierty software.,"31,686",7/6/15,,3/29/16,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
ICU Outdoor Advertising,https://www.crunchbase.com/organization/icu-outdoor-advertising,"Sales and Marketing, Advertising","Valparaiso, Indiana, United States",National Leader in Commercial Signage Solutions,"49,428",7/5/15,,7/8/15,1,"$650,000 ",Seed,"$650,000 ","$650,000 ","$650,000 "
Faira,https://www.crunchbase.com/organization/faira,Real Estate,"Kirkland, Washington, United States",Faira is a real estate technology platform that is revolutionizing the way people buy and sell homes.,"9,221",7/4/15,,2/16/17,3,"$1,200,000 ",Seed,"$1,200,000 ","$2,730,000 ","$2,730,000 "
Veruca,https://www.crunchbase.com/organization/veruca,Professional Services,"Santa Monica, California, United States",Relationship Building Sourcing Automator,"58,274",7/4/15,,7/4/15,1,"$5,000 ",Seed,"$5,000 ","$5,000 ","$5,000 "
Embark Veterinary,https://www.crunchbase.com/organization/embark-veterinary,"Agriculture and Farming, Biotechnology, Science and Engineering, Health Care","Austin, Texas, United States",End hereditary disease in all dogs through the power of genomics.,"2,647",7/1/15,,7/18/17,3,"$4,500,000 ",Seed,"$4,500,000 ","$6,300,000 ","$6,300,000 "
Carbon Health,https://www.crunchbase.com/organization/carbon-health,Health Care,"San Francisco, California, United States",Carbon Health builds the worlds smartest healthcare network that makes comprehensive care available for all.,"5,681",7/1/15,,3/30/17,2,"$4,200,000 ",Seed,"$4,200,000 ","$6,500,000 ","$6,500,000 "
Mighty Audio,https://www.crunchbase.com/organization/mighty-4,"Hardware, Media and Entertainment, Consumer Electronics, Music and Audio","Venice, California, United States",Reimagining the music player for the streaming era,"6,419",7/1/15,,2/1/17,3,"$2,000,000 ",Seed,"$2,000,000 ","$3,125,000 ","$3,125,000 "
Gridics,https://www.crunchbase.com/organization/gridics,,"Miami, Florida, United States","Gridics, short for grid analytics, is creating software applications to solve complex problems in the real estate development vertical.","7,911",7/1/15,,4/20/17,2,"$1,100,000 ",Seed,"$1,100,000 ","$2,017,000 ","$2,017,000 "
Shyft Technologies,https://www.crunchbase.com/organization/shyft,"Apps, Information Technology, Software, Internet Services, Messaging and Telecommunications, Mobile","Seattle, Washington, United States",Shyft Technologies is a tech company developing mobile apps for coworkers and teams.,"9,395",7/1/15,,7/13/16,2,"$1,500,000 ",Seed,"$1,500,000 ","$1,600,000 ","$1,600,000 "
Triller,https://www.crunchbase.com/organization/triller,"Media and Entertainment, Music and Audio, Internet Services","New York, New York, United States","Triller enables anyone to make great video, effortlessly. People use Triller to make music videos, everyday films, and group videos.","11,326",7/1/15,,5/1/16,2,"$3,000,000 ",Seed,"$3,000,000 ","$4,500,000 ","$4,500,000 "
WeDo,https://www.crunchbase.com/organization/wedo-app,"Apps, Software, Mobile","Santa Barbara, California, United States","The best way for you and the people in your life to get things done, for Free.","11,346",7/1/15,,7/21/16,2,"$500,000 ",Seed,"$500,000 ","$1,400,000 ","$1,400,000 "
Shelf,https://www.crunchbase.com/organization/shelf-io,,"Stamford, Connecticut, United States","Shelf is a content sharing platform that helps distributed teams organize, declutter, and find their most important resources in one place.","11,742",7/1/15,,6/26/17,1,"$2,200,000 ",Seed,"$2,200,000 ","$2,200,000 ","$2,200,000 "
RBC Signals,https://www.crunchbase.com/organization/rbc-signals,"Hardware, Data and Analytics, Software","Redmond, Washington, United States","RBC Signals provides global satellite communication ""infrastructure as a service""","11,792",7/1/15,,3/29/17,1,"$1,500,000 ",Seed,"$1,500,000 ","$1,500,000 ","$1,500,000 "
Kard,https://www.crunchbase.com/organization/kard,Financial Services,"New York, New York, United States","Kard helps consumers optimize their spending by informing them, in real time, how to best earn and use their credit card rewards.","12,203",7/1/15,,2/23/16,1,"$600,000 ",Seed,"$600,000 ","$600,000 ","$600,000 "
ParkMyCloud,https://www.crunchbase.com/organization/parkmycloud,"Information Technology, Software, Internet Services","Dulles, Virginia, United States",A self-service web app to quickly schedule on/off times for your idle AWS instances.,"13,089",7/1/15,,9/6/16,3,"$1,650,000 ",Seed,"$1,650,000 ","$2,250,000 ","$2,250,000 "
Donut Media,https://www.crunchbase.com/organization/donut-media,"Media and Entertainment, Transportation","Los Angeles, California, United States",A digital network for the next generation of automotive enthusiasts,"13,147",7/1/15,,5/9/17,1,"$800,000 ",Seed,"$800,000 ","$800,000 ","$800,000 "
Evolve App,https://www.crunchbase.com/organization/evolve-app,"Apps, Community and Lifestyle, Software","Boston, Massachusetts, United States","Advice in Love, powered by Machine Learning","14,183",7/1/15,,2/1/17,2,"$100,000 ",Seed,"$100,000 ","$1,100,000 ","$1,100,000 "
Konsus,https://www.crunchbase.com/organization/konsus,"Commerce and Shopping, Data and Analytics, Professional Services, Design","Palo Alto, California, United States","Access top freelance talent 24/7 via email, chat or Slack","15,955",7/1/15,,8/9/16,2,"$1,500,000 ",Seed,"$1,500,000 ","$1,620,000 ","$1,620,000 "
Chexology,https://www.crunchbase.com/organization/chexology,"Media and Entertainment, Information Technology, Events","New York, New York, United States",Chexology provides a trustworthy and delightful experience for storage and rental services.,"16,255",7/1/15,,9/11/15,1,"$1,200,000 ",Seed,"$1,200,000 ","$1,200,000 ","$1,200,000 "
OneUni,https://www.crunchbase.com/organization/one-university-network,"Hardware, Consumer Electronics, Education, Mobile","Oakland, California, United States",Smartphone-Based Degrees from Top Universities,"18,369",7/1/15,,10/31/15,1,"$3,500,000 ",Seed,"$3,500,000 ","$3,500,000 ","$3,500,000 "
Datarista,https://www.crunchbase.com/organization/datarista-inc,"Information Technology, Data and Analytics, Software, Sales and Marketing","Providence, Rhode Island, United States",PaaS for the Sales & Marketing Data Industry,"18,688",7/1/15,,1/1/17,3,"$200,000 ",Seed,"$200,000 ","$2,150,000 ","$2,150,000 "
IMMINENT Digital,https://www.crunchbase.com/organization/imminent-digital,"Software, Health Care","New York, New York, United States",IMMINENT is a content and technology company devoted to creating the best employee engagement operating system in existence,"18,702",7/1/15,,7/1/15,1,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
Global Threads LLC,https://www.crunchbase.com/organization/global-threads-llc,"Manufacturing, Data and Analytics, Software, Internet Services, Artificial Intelligence","Dallas, Texas, United States","Manufactures T-shirts and apparel, predicative analytics for reordering of sizes","21,793",7/1/15,,4/10/17,2,"$60,000 ",Seed,"$60,000 ","$82,000 ","$82,000 "
Dock411,https://www.crunchbase.com/organization/dock411,"Transportation, Financial Services","Saint Charles, Illinois, United States",Dock411 saves drivers time and money by sharing important information about their drop-off and pick-up locations before they arrive.,"27,599",7/1/15,,7/1/15,1,"$450,000 ",Seed,"$450,000 ","$450,000 ","$450,000 "
OneChronos,https://www.crunchbase.com/organization/one-chronos,Financial Services,"Denver, Colorado, United States","A new trading venue (ATS) for US equities that will improve your bottom line, arriving soon","28,298",7/1/15,,8/24/16,2,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
ingage.ai,https://www.crunchbase.com/organization/myx-corp,"Science and Engineering, Data and Analytics, Software, Artificial Intelligence","Frisco, Texas, United States",Build Smart AI Conversational Services for Customer Engagements and Enterprise Workflows,"28,694",7/1/15,,7/1/15,1,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
Avisare,https://www.crunchbase.com/organization/avisare,,"Los Angeles, California, United States","Avisare is the centralized network for all businesses to discover new contract opportunities, and bid on any using one universal profile.","30,810",7/1/15,,7/21/17,2,"$120,000 ",Seed,"$120,000 ","$270,000 ","$270,000 "
Retently,https://www.crunchbase.com/organization/retently,Software,"Mountain View, California, United States",Retently helps subscription businesses increase revenue and customer retention,"31,656",7/1/15,,7/1/15,1,"$300,000 ",Seed,"$300,000 ","$300,000 ","$300,000 "
Advanced Robotics Artificial Intelligence (ARAI),https://www.crunchbase.com/organization/advanced-robotics-artificial-intelligence-arai,"Science and Engineering, Hardware, Data and Analytics, Software, Education, Artificial Intelligence","Culver City, California, United States","Integrating robotics and artificial intelligence into education, to create solutions which make educational resources available to anyone.","35,157",7/1/15,,5/1/15,1,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
Daymaker,https://www.crunchbase.com/organization/daymaker,"Commerce and Shopping, Media and Entertainment, Events, Internet Services","Los Angeles, California, United States",Thereâ€™s an art to planning a great day out. Daymaker helps you find the best things to do and then ties them together into a perfect day.,"38,484",7/1/15,,6/10/16,2,"$550,000 ",Seed,"$550,000 ","$700,000 ","$700,000 "
Tipster,https://www.crunchbase.com/organization/tipster-2,"Clothing and Apparel, Consumer Goods, Design","New York, New York, United States","Tipster offers personalized style advice from vetted industry experts and tastemakers in fashion, hair and beauty- anytime, anywhere.","39,405",7/1/15,,12/31/15,1,"$600,000 ",Seed,"$600,000 ","$600,000 ","$600,000 "
TripCloud,https://www.crunchbase.com/organization/tripcloud,Travel and Tourism,"San Francisco, California, United States",Easy travel & expense management for mid-sized companies.,"44,038",7/1/15,,2/26/16,3,"$50,000 ",Seed,"$50,000 ","$130,000 ","$130,000 "
Solar Merchant,https://www.crunchbase.com/organization/solar-merchant,"Natural Resources, Energy, Sustainability","Los Angeles, California, United States",Nation's First Online Marketplace Focused on the Small Commercial Solar Sector,"44,090",7/1/15,,12/9/15,1,"$125,000 ",Seed,"$125,000 ","$125,000 ","$125,000 "
MobLyft,https://www.crunchbase.com/organization/moblyft,"Gaming, Media and Entertainment, Video, Mobile","New York, New York, United States",The leading video monetization solution for mobile games & apps.,"45,583",7/1/15,,12/1/15,1,"$150,000 ",Seed,"$150,000 ","$150,000 ","$150,000 "
PieShell,https://www.crunchbase.com/organization/pieshell,"Food and Beverage, Financial Services","New York, New York, United States",Crowdfunding for food + beverage entrepreneurs.,"45,865",7/1/15,,8/11/17,2,"$50,000 ",Seed,"$50,000 ","$63,000 ","$63,000 "
QuBowl,https://www.crunchbase.com/organization/qubowl,"Data and Analytics, Education","Fayetteville, Arkansas, United States",We take the hassle out of coaching quiz bowl,"47,146",7/1/15,,7/1/15,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Bandy,https://www.crunchbase.com/organization/bandy,"Commerce and Shopping, Community and Lifestyle","Garland, Texas, United States","Bandy is an app that lets people barter on leading online marketplaces like eBay, Amazon, and Etsy.","48,515",7/1/15,,7/1/15,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Maaish Inc,https://www.crunchbase.com/organization/maaish-inc,Travel and Tourism,"New York, New York, United States","Foodie Social Network - (Uber is for Travel, Air BnB is for Stay, Maaish is for Food)","54,713",7/1/15,,7/15/15,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
Bookkeepity,https://www.crunchbase.com/organization/bookkeepity,Commerce and Shopping,"Boston, Massachusetts, United States",Bookkeepity is a web-based application that enables small and medium businesses to find bookkeeping professionals.,"56,468",7/1/15,,9/30/15,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Harba,https://www.crunchbase.com/organization/harba,"Community and Lifestyle, Sports","Denmark, South Carolina, United States",Harba bring the freedom of the sea into the harbors.,,7/1/15,,3/8/16,1,"â‚¬107,000",Seed,"â‚¬107,000","$117,665 ","$117,665 "
Vutiliti,https://www.crunchbase.com/organization/vutiliti,"Natural Resources, Energy, Sustainability, Financial Services","Salt Lake City, Utah, United States","Real-time smart building, smart grid, smart city intelligence.","12,570",6/30/15,,7/14/16,4,"$1,500,000 ",Seed,"$1,500,000 ","$2,230,000 ","$2,230,000 "
Hydroviv,https://www.crunchbase.com/organization/hydroviv,Sustainability,"Washington, District of Columbia, United States",We are an e-commerce water filter company that uses water quality data to build filters that are optimized for each customer's water,"27,174",6/30/15,,7/2/15,1,"$150,000 ",Seed,"$150,000 ","$150,000 ","$150,000 "
SmartBeings Inc.,https://www.crunchbase.com/organization/smartbeings-llc,"Hardware, Consumer Electronics, Data and Analytics, Software, Internet Services, Artificial Intelligence","Martinez, California, United States",SmartBeingsÂ® combines device intelligence and cloud connectivity for intelligent living and virtual collaboration; Smart Monitoringâ„¢.,"29,636",6/28/15,,6/30/16,1,"$30,000 ",Seed,"$30,000 ","$30,000 ","$30,000 "
REFILL,https://www.crunchbase.com/organization/alcohol-deliveries-llc,"Commerce and Shopping, Food and Beverage","Columbus, Ohio, United States",Refill is brining the on-demand experience to the alcohol industry.,"18,973",6/25/15,,11/23/16,2,"$200,000 ",Seed,"$200,000 ","$200,000 ","$200,000 "
Phyzseek: The Fitness App That Motivates You to Transform Your Body,https://www.crunchbase.com/organization/phyzseek-the-fitness-app-that-motivates-you-to-get-into-the-best-shape-of-your-life,"Apps, Software, Sports","Palm Beach Gardens, Florida, United States","The Only Doctor-Developed, Science-Driven Fitness App That Motivates, Measures & Delivers High Intensity, Time-Efficient Daily Workouts","40,438",6/25/15,6/25/15,7/15/16,2,"$250,000 ",Seed,"$250,000 ","$370,000 ","$370,000 "
Lendvo.com,https://www.crunchbase.com/organization/lendvo-com,Financial Services,"Alexandria, Virginia, United States",Fintech and Alternative Lending startup geared towards digital small to medium sized businesses,"39,303",6/23/15,,6/23/15,1,"$1,325,000 ",Seed,"$1,325,000 ","$1,325,000 ","$1,325,000 "
ClearGov,https://www.crunchbase.com/organization/cleargov,"Information Technology, Data and Analytics, Software, Government and Military, Financial Services, Design","Hopkinton, Massachusetts, United States",ClearGov is helping citizens better understand their local government's financial performance.,"14,365",6/22/15,,3/29/17,2,"$1,200,000 ",Seed,"$1,200,000 ","$1,200,000 ","$1,235,000 "
BenRevo,https://www.crunchbase.com/organization/benrevo,"Information Technology, Software, Sales and Marketing, Health Care, Financial Services","San Diego, California, United States",BenRevo helps insurance carriers automate their sales process by providing modern tools to their distribution channel.,"3,474",6/16/15,,7/21/17,3,"$1,280,000 ",Seed,"$1,280,000 ","$2,155,000 ","$2,155,000 "
"Evaline, Inc.",https://www.crunchbase.com/organization/evaline-inc,,"Santa Cruz, California, United States","Evaline, Inc. is the breakthrough designer of intelligent electric vehicle management charging solutions for work, home and life.","34,921",6/16/15,,4/15/17,1,"$125,000 ",Seed,"$125,000 ","$125,000 ","$125,000 "
Gild Collective,https://www.crunchbase.com/organization/gild-collective,"Media and Entertainment, Events, Consumer Goods","Cincinnati, Ohio, United States","Gild Collective is a platform for creative experiences for women, with in-home craft parties with DIY project kits and detailed instruction.","52,350",6/16/15,,6/16/15,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
Reality AI,https://www.crunchbase.com/organization/reality-analytics,"Science and Engineering, Hardware, Data and Analytics, Software, Internet Services, Artificial Intelligence","New York, New York, United States","An AI signal processing engineer for R&D engineers working with sensors and signals -- creates detectors, classifiers and predictors","6,748",6/15/15,,5/15/17,1,"$1,700,000 ",Seed,"$1,700,000 ","$1,700,000 ","$1,700,000 "
Shortlist Inc.,https://www.crunchbase.com/organization/shortlist-co,"Administrative Services, Professional Services, Transportation","San Francisco, California, United States",Shortlist helps companies find and manage their complete external workforce.,"6,930",6/15/15,,5/24/17,7,"$1,500,000 ",Seed,"$1,500,000 ","$2,260,000 ","$2,260,000 "
ZipBooks,https://www.crunchbase.com/organization/zipbooks,"Software, Professional Services, Financial Services","Lehi, Utah, United States",Free accounting software for small businesses.,"18,155",6/15/15,,7/20/16,2,"$2,000,000 ",Seed,"$2,000,000 ","$2,000,000 ","$2,000,000 "
E-contenta,https://www.crunchbase.com/organization/e-contenta,"Media and Entertainment, Data and Analytics, Software, Sales and Marketing, Video, Artificial Intelligence","New York, New York, United States","E-contenta conducts analyses of people on the internet and figures out what each person would like to watch, listen to, read, and buy.","27,689",6/15/15,,8/9/16,2,"$130,000 ",Seed,"$130,000 ","$255,000 ","$255,000 "
Haul,https://www.crunchbase.com/organization/haul-io,"Commerce and Shopping, Media and Entertainment, Content and Publishing","San Francisco, California, United States","We're all about helping people find, buy, and even sell cool things with a whole community of like-minded people","48,378",6/15/15,,12/5/14,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
Cj Trik,https://www.crunchbase.com/organization/cj-trik,"Media and Entertainment, Content and Publishing","Seattle, Washington, United States",CJTrik is an artificial intelligence-powered news platform.,"51,035",6/15/15,,6/25/15,1,"$110,000 ",Seed,"$110,000 ","$110,000 ","$110,000 "
Hive,https://www.crunchbase.com/organization/hive-technology,"Software, Internet Services","New York, New York, United States","Hive is a fast-growing teamwork platform used by WeWork, PWC, Uber and thousands of companies around the world","55,812",6/15/15,,3/24/16,1,"$1,400,000 ",Seed,"$1,400,000 ","$1,400,000 ","$1,400,000 "
Prognos Health,https://www.crunchbase.com/organization/prognos-health,Health Care,"San Francisco, California, United States",Cure your disease,"58,559",6/15/15,,7/28/15,1,"$5,000 ",Seed,"$5,000 ","$5,000 ","$5,000 "
FullPlateApp,https://www.crunchbase.com/organization/fullplateapp,"Commerce and Shopping, Food and Beverage","Pinedale, Wyoming, United States",Dining Done Right,"63,577",6/15/15,,7/1/15,1,"$5,000 ",Seed,"$5,000 ","$5,000 ","$5,000 "
"Soozie's Doozies, LLC",https://www.crunchbase.com/organization/soozie-s-doozies,Food and Beverage,"Union, Missouri, United States","Soozie's Doozies is the creator of the first pre-cut, refrigerated cookie dough in a stand up pouch. It's all natural, non-GMO.","32,586",6/14/15,,2/16/17,2,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
GrocerMe,https://www.crunchbase.com/organization/grocerme,"Administrative Services, Mobile","Novi, Michigan, United States",A location based mobile grocery delivery network.,"45,884",6/13/15,,8/14/15,1,"$500,000 ",Seed,"$500,000 ","$500,000 ","$500,000 "
StreamSavvy,https://www.crunchbase.com/organization/streamsavvy,"Media and Entertainment, Video, Content and Publishing, Mobile","Columbus, Ohio, United States",Making it easy to stream the best TV,"49,463",6/13/15,,8/9/16,1,"$60,000 ",Seed,"$60,000 ","$60,000 ","$60,000 "
"Concierge Solutions, LLC.",https://www.crunchbase.com/organization/concierge-solutions-llc,"Apps, Travel and Tourism, Software","Metairie, Louisiana, United States",Concierge Solutions is an application development company focused on the service and hospitality industry.,"50,596",6/10/15,,3/18/16,1,"$20,000 ",Seed,"$20,000 ","$20,000 ","$20,000 "
Mirage 3D,https://www.crunchbase.com/organization/mirage-3d,,"Syracuse, New York, United States","Mirage 3D builds 3D body scanning software for medical, fitness, and apparel application","63,055",6/9/15,,4/17/17,1,"$25,000 ",Seed,"$25,000 ","$25,000 ","$25,000 "
Torchlite,https://www.crunchbase.com/organization/torchlite,"Software, Sales and Marketing, Advertising","Indianapolis, Indiana, United States","Torchlite is a SaaS-based marketplace that connects businesses to experts who build, manage and optimize digital marketing campaigns.","15,812",6/4/15,,6/15/17,1,"$2,000,000 ",Seed,"$2,000,000 ","$2,000,000 ","$2,000,000 "
Wokrr,https://www.crunchbase.com/organization/wokrr,,"San Jose, California, United States","Wokrr is based in San Jose, California, United States.",,1/1/16,,1/1/00,1,"$1,111 ",Seed,"$1,111 ","$1,111 ","$1,111 "
BUILT IMAGES,https://www.crunchbase.com/organization/hometica,"Media and Entertainment, Real Estate, Content and Publishing","San Clemente, California, United States",BUILT IMAGES stretches the imagination with Rights Managed & Royalty-Free Home and Architecture stock imagery.,,1/1/12,,2/14/04,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
Dick or Bro,https://www.crunchbase.com/organization/dick-or-bro,"Media and Entertainment, Internet Services","Los Angeles, California, United States",celebrity voting,"54,319",1/1/12,,1/1/11,1,"$150,000 ",Seed,"$150,000 ","$150,000 ","$150,000 "
