Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Last Funding Date,Number of Funding Rounds,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount
Easyknock,https://www.crunchbase.com/organization/easyknock,,"New York, New York, United States",EasyKnock is a residential real estate technology company on a mission to change the process of listing and selling oneâ€™s home,"15,612",10/15/16,,2/15/17,1,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
Imerza,https://www.crunchbase.com/organization/imerza,,"Sarasota, Florida, United States",Real Estate VR Sales Platform,"56,516",10/15/16,,1/1/17,1,"$350,000 ",Seed,"$350,000 ","$350,000 ","$350,000 "
Somatik inc.,https://www.crunchbase.com/organization/somatik-inc,,"Oakland, California, United States",Premium low-dose cannabis infused beverages and artisanal edibles.,"18,209",10/14/16,,8/1/17,2,"$100,000 ",Seed,"$100,000 ","$130,000 ","$130,000 "
Bearahand.com,https://www.crunchbase.com/organization/bearahand-com,,"San Francisco, California, United States",Autonomous Personal Assistant - Perfect piece of work in Artificial Intelligence,"55,168",10/14/16,,10/15/16,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Health314,https://www.crunchbase.com/organization/health314,"Software, Health Care","Portland, Oregon, United States",Health314 helps empoyers (and employees) reduce healthcare costs,"39,984",10/10/16,,10/20/16,1,"$60,000 ",Seed,"$60,000 ","$60,000 ","$60,000 "
"QuitAlert, Inc.",https://www.crunchbase.com/organization/quitalert-inc,,"Menlo Park, California, United States",Realtime Talent Monitoring Systemâ„¢,"61,148",10/10/16,,5/10/17,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
NYC Kegs,https://www.crunchbase.com/organization/nyc-kegs,"Food and Beverage, Administrative Services","Brooklyn, New York, United States",Disrupting the process of buying and enjoying kegs. Keg delivery in NYC. Launching nationwide in major cities shortly.,"35,953",10/5/16,,8/1/16,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Grokstyle,https://www.crunchbase.com/organization/grokstyle,"Information Technology, Real Estate, Data and Analytics, Software, Consumer Goods, Design","San Francisco, California, United States",Grokstyle develops an app that automatically identifies furniture and home decor from just about any picture or angle.,"3,442",10/1/16,,4/4/17,1,"$2,000,000 ",Seed,"$2,000,000 ","$2,000,000 ","$2,000,000 "
WanderJaunt,https://www.crunchbase.com/organization/wanderjaunt,"Travel and Tourism, Real Estate","San Francisco, California, United States","WanderJaunt offers technology-enabled property management solutions for travelers, homeowners, and accommodations from around the world.","5,042",10/1/16,,8/2/17,1,"$2,000,000 ",Seed,"$2,000,000 ","$2,000,000 ","$2,000,000 "
Workfit,https://www.crunchbase.com/organization/workfit,"Science and Engineering, Data and Analytics, Software, Artificial Intelligence","Menlo Park, California, United States","Workfit is the creator of Eva, an intelligent voice facilitator to make meetings more productive.","5,150",10/1/16,,2/27/17,1,"$5,500,000 ",Seed,"$5,500,000 ","$5,500,000 ","$5,500,000 "
Capsule8,https://www.crunchbase.com/organization/capsule8,"Information Technology, Privacy and Security","Brooklyn, New York, United States","Container-Aware, Real-time Threat Protection for Linux","7,167",10/1/16,,2/8/17,1,"$2,500,000 ",Seed,"$2,500,000 ","$2,500,000 ","$2,500,000 "
Biztravel.ai,https://www.crunchbase.com/organization/trafla,"Science and Engineering, Travel and Tourism, Data and Analytics, Software, Artificial Intelligence","Bethesda, Maryland, United States",biztravel.ai is an AI based assistant to manage and book business travel,"22,502",10/1/16,,3/25/17,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
