Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date,UUID,Homepage,Total Visits,Avg Visit Duration,Pages Per Visit,Bounce Rate
Picklify,2012-03-01,2013-07-01,1,2012-03-01,13000,13000,Closed,Seed,13000,3/1/2012,e74ce06f15e1a5079182269ea98a4b33,http://picklify.com,<12K,N/A,N/A,N/A
Picvoice,2012-05-20,,1,2012-05-30,5000,5000,Closed,Seed,5000,5/30/2012,0b5d99f32b67f432dc08103c0d3609ef,http://picvoice.com/,<12K,N/A,N/A,N/A
Pintics,2012-01-10,2012-10-31,1,2012-05-18,10000,10000,Closed,Seed,10000,5/18/2012,a07082940403e484a0558061b7546891,http://www.pintics.com,<12K,00:00:20,3.02,N/A
Poliana,2013-01-01,2015-01-01,1,2013-08-07,15000,15000,Closed,Seed,15000,8/7/2013,e27e1dfe336790cefa5dcab45e8dd0ea,http://www.poliana.com,<12K,00:01:51,1.33,67.04%
PollVaultr,2012-01-01,,1,2012-05-30,60000,60000,Closed,Seed,60000,5/30/2012,07fdb45b09bdb3a27967786281f0d715,http://www.pollvaultr.com,<12K,N/A,N/A,N/A
Prognos Health,2015-06-15,,1,2015-07-28,5000,5000,Closed,Seed,5000,7/28/2015,6bd1abc67389c32bd82556dae0ce2be0,https://prognos.health,,,,
ProtoExchange,2012-10-12,2015-03-30,2,2013-08-06,118000,133000,Closed,Seed,118000,8/6/2013,f7d263cebb7eeb65b14898167eebbd68,http://www.protoexchange.com,<12K,N/A,1.00,100.00%
Quack,2014-07-14,2014-07-31,1,2014-07-18,20000,20000,Closed,Seed,20000,7/18/2014,e0a5b5217a85a8e8c2ef8318a91f10b6,http://www.quack.com,<12K,N/A,N/A,N/A
Quality Renters,2015-01-01,,1,2015-01-01,20000,20000,Closed,Seed,20000,1/1/2015,404b19460cc7e8bca5611f5c491b16cd,http://www.qualityrenters.com/,<12K,N/A,N/A,N/A
Quantified Vapor,2014-01-01,,2,2016-05-01,50000,70000,Closed,Seed,20000,3/1/2016,8f7d718d69b486b492ee1f0efaf12c93,http://quantifiedvapor.com,<12K,N/A,N/A,N/A
ReTenant,2012-08-01,2016-04-09,2,2014-03-04,400000,440000,Closed,Series A,400000,3/4/2014,07cad2b63924a515f1d18566595aba2f,http://www.retenant.com/,<12K,N/A,N/A,N/A
Relationship Analytics,2012-08-01,2013-08-01,2,2013-05-16,25000,125000,Closed,Seed,25000,5/16/2013,3f5171ce1ccb513cad700dff883c5905,http://www.relationshipmanager.com,<12K,00:00:01,2.00,N/A
Remember The Member,2012-01-01,2013-07-01,1,2012-07-01,50000,50000,Closed,Seed,50000,7/1/2012,52d032c4525754227348045339bc3420,http://www.rememberthemember.com,<12K,N/A,N/A,N/A
RewardMyWay,2013-12-01,2016-02-01,1,2014-01-01,2000000,2000000,Closed,Series A,2000000,1/1/2014,53215e2f9458a5a03774c4b4d9e49507,http://www.rewardmyway.com,<12K,N/A,1.00,100.00%
Ripple Commerce,2012-01-01,,1,2012-07-20,650000,650000,Closed,Seed,650000,7/20/2012,964ea8f7621fc10cc80ea474b8a39016,http://ripplecommerce.com,,,,
Rocket Raise,2013-08-01,,1,2013-08-07,15000,15000,Closed,Seed,15000,8/7/2013,3d383ee57bf4e92cc2cbd723460500be,http://rocketraise.com/,<12K,N/A,N/A,N/A
SKULLY,2013-02-27,2016-07-27,4,2015-02-27,11000000,14950000,Closed,Series A,11000000,2/27/2015,cbbb8ba2f5302ba5d12f84cee865ce79,http://www.skully.com/,<12K,00:01:36,1.51,65.77%
STAND Technologies,2014-01-01,2016-06-03,1,2015-06-25,2250000,2250000,Closed,Seed,2250000,6/25/2015,cd6602b497b824ded92a1f32ad8905b3,http://www.stand.tc,<12K,00:00:01,2.27,N/A
Safecare,2012-01-01,,1,2012-04-19,25000,25000,Closed,Seed,25000,4/19/2012,09a82871e23169e5a414c309958bf662,http://safecare.publichealth.gsu.edu/,<12K,00:04:15,3.37,40.62%
SavySwap,2012-06-01,,1,2014-05-01,20000,20000,Closed,Seed,20000,5/1/2014,6b80cf71c37fdd6d8dafed78f86d5e2d,http://savyswap.co,<12K,N/A,N/A,N/A
Scoot & Doodle,2012-01-01,2016-09-16,1,2013-03-07,2250000,2250000,Closed,Seed,2250000,3/7/2013,113209a89e507cfd0978984985b0b846,http://scootdoodle.com,<12K,00:01:11,2.13,62.88%
SeatSwapr,2012-04-27,2013-07-01,1,2012-07-27,10000,10000,Closed,Seed,10000,7/27/2012,611cc7d6ad0ac3a0bc3194db9b5ac594,http://www.seatswapr.com,<12K,N/A,N/A,N/A
Secret,2013-10-01,2015-04-01,3,2014-07-14,25000000,35025000,Closed,Series B,25000000,7/14/2014,cc4b3bbf88c8157efe9922e653e1a7e4,http://www.secret.ly,15.33K,00:00:05,1.30,39.28%
Serica,2014-07-01,,2,2015-09-01,120000,120000,Closed,Seed,120000,9/1/2015,dd9e6b98a792b8a27ca6976da9d64c0e,http://www.sericatrading.com,<12K,00:00:28,2.08,34.76%
ShopTap Industries,2012-01-01,2015-12-08,4,2014-04-10,10000000,16200000,Closed,Series A,5500000,11/24/2013,96d8845079d6d9255489c6758ef1c9b9,https://www.thehunt.com/,1.81M,00:00:55,2.05,68.16%
Shuddle,2014-01-01,2016-04-15,2,2015-03-18,9600000,12200000,Closed,Series A,9600000,3/18/2015,734b06eabe2bfa5d9fb15165e6b7e368,https://shuddle.us/,<12K,N/A,1.08,91.84%
Smart Lanes,2013-01-01,2015-01-27,1,2015-03-01,15000,15000,Closed,Seed,15000,3/1/2015,002194d5e7cfcc7886ca4213f8edf62b,http://smartlanestechnologies.com/,<12K,N/A,N/A,N/A
"SmartStay, Inc",2014-03-15,,2,2014-08-08,20000,20000,Closed,Seed,20000,8/8/2014,80ac5ee9221f90b8010214f79eb3f517,http://smartstay.io,<12K,N/A,N/A,N/A
SocialThreader,2012-07-02,2014-01-01,2,2012-12-01,25000,45000,Closed,Seed,20000,10/3/2012,ffe1289205c4e8e4d728d9b54e7b3aeb,http://socialthreader.com,<12K,N/A,N/A,N/A
Solid Innovations,2015-01-01,2016-04-01,1,2016-04-01,300000,300000,Closed,Seed,300000,4/1/2016,f96580b47310ed80bca7b5b7fa7dfe92,http://www.solidinnovations.net/,,,,
SoundRoadie,2012-07-01,,1,2012-07-15,60000,60000,Closed,Seed,60000,7/15/2012,741aa75e710ac876cde8f3e11a7da944,http://www.soundroadie.com,<12K,N/A,N/A,N/A
Soundstache,2013-01-01,,1,2013-03-01,15000,15000,Closed,Seed,15000,3/1/2013,2dd25fb3ce9b6f2a050a761d7e025905,http://soundstache.net/,<12K,N/A,N/A,N/A
