Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date
PillPack,2013-01-31,,5,2016-09-06,"$55,000,000 ","$117,800,000 ",Operating,Series A,"$3,500,000 ",2013-07-01
PillPack,2013-01-31,,5,2016-09-06,"$55,000,000 ","$117,800,000 ",Operating,Series B,"$8,750,000 ",2014-10-09
PillPack,2013-01-31,,5,2016-09-06,"$55,000,000 ","$117,800,000 ",Operating,Series C,"$50,000,000 ",2015-06-03
PillPack,2013-01-31,,5,2016-09-06,"$55,000,000 ","$117,800,000 ",Operating,Series D,"$55,000,000 ",2016-09-06
Pillow,2014-01-15,,3,2017-06-21,"$13,500,000 ","$16,150,000 ",Operating,Series A,"$13,500,000 ",2017-06-21
Pilot,2014-04-01,,3,2016-11-01,"$12,000,000 ","$16,075,000 ",Operating,Seed,"$3,300,000 ",2015-05-01
Pilot,2014-04-01,,3,2016-11-01,"$12,000,000 ","$16,075,000 ",Operating,Series A,"$12,000,000 ",2016-11-01
Pinch,2013-04-01,,1,2012-08-01,"$400,000 ","$400,000 ",Operating,Seed,"$400,000 ",2012-08-01
Pine,2014-04-22,,1,2014-08-20,"$9,000 ","$9,000 ",Operating,Seed,"$9,000 ",2014-08-20
Pine Biotech,2014-01-01,,1,2017-06-20,"$1,025,000 ","$1,025,000 ",Operating,Seed,"$1,025,000 ",2017-06-20
PingGPS Inc,2016-06-17,,1,2016-07-20,"$550,000 ","$550,000 ",Operating,Seed,"$550,000 ",2016-07-20
Pingboard,2013-07-15,,1,2014-11-17,"$2,500,000 ","$2,500,000 ",Operating,Seed,"$2,500,000 ",2014-11-17
Pinscreen,2015-01-01,,1,2016-08-09,"$1,800,000 ","$1,800,000 ",Operating,Seed,"$1,800,000 ",2016-08-09
Pintics,2012-01-10,2012-10-31,1,2012-05-18,"$10,000 ","$10,000 ",Closed,Seed,"$10,000 ",2012-05-18
Pioneer Square Labs,2015-10-01,,1,2015-10-01,"$12,500,000 ","$12,500,000 ",Operating,Series A,"$12,500,000 ",2015-10-01
Pip Learning,2013-01-01,,1,2015-02-01,"$18,000 ","$18,000 ",Was Acquired,Seed,"$18,000 ",2015-02-01
Pipefish,2012-07-15,,2,2012-07-15,"$300,000 ","$400,000 ",Operating,Seed,"$300,000 ",2012-07-15
Pipefish,2012-07-15,,2,2012-07-15,"$300,000 ","$400,000 ",Operating,Seed,"$100,000 ",2012-07-01
Pipemonk (Formerly ZapStitch),2014-01-01,,2,2015-05-12,"$2,000,000 ","$2,100,000 ",Was Acquired,Series A,"$2,000,000 ",2015-05-12
PiperScout,2012-02-01,,1,2012-01-05,"$250,000 ","$250,000 ",Operating,Seed,"$250,000 ",2012-01-05
Piqora,2012-07-01,,3,2014-04-23,"$7,700,000 ","$11,200,000 ",Was Acquired,Seed,"$1,400,000 ",2012-07-31
Piqora,2012-07-01,,3,2014-04-23,"$7,700,000 ","$11,200,000 ",Was Acquired,Series A,"$7,700,000 ",2014-04-23
PivotDesk,2012-04-01,,3,2014-04-10,"$3,625,000 ","$6,860,000 ",Was Acquired,Seed,"$3,235,000 ",2012-09-24
PivotDesk,2012-04-01,,3,2014-04-10,"$3,625,000 ","$6,860,000 ",Was Acquired,Series A,"$3,625,000 ",2014-04-10
Pivotal,2013-04-01,,3,2016-05-05,"$653,000,000 ","$1,704,000,000 ",Operating,Series A,"$946,000,000 ",2013-04-01
Pivotal,2013-04-01,,3,2016-05-05,"$653,000,000 ","$1,704,000,000 ",Operating,Series B,"$105,000,000 ",2013-04-24
Pivotal,2013-04-01,,3,2016-05-05,"$653,000,000 ","$1,704,000,000 ",Operating,Series C,"$653,000,000 ",2016-05-05
Pixate,2012-05-01,,1,2013-07-02,"$3,800,000 ","$3,800,000 ",Was Acquired,Series A,"$3,800,000 ",2013-07-02
Pixel Labs,2016-01-01,,1,2016-05-10,"$4,000,000 ","$4,000,000 ",Operating,Series A,"$4,000,000 ",2016-05-10
Pixelle,2012-09-01,,3,2014-08-15,"$100,000 ","$170,000 ",Operating,Seed,"$40,000 ",2012-11-01
Pixelle,2012-09-01,,3,2014-08-15,"$100,000 ","$170,000 ",Operating,Seed,"$30,000 ",2012-11-25
Pixifly,2014-01-13,,1,2014-07-18,"$20,000 ","$20,000 ",Operating,Seed,"$20,000 ",2014-07-18
Pixilated,2012-01-05,,1,2017-01-10,"$500,000 ","$500,000 ",Operating,Seed,"$500,000 ",2017-01-10
PlacePass,2015-12-01,,2,2017-03-21,"$12,000,000 ","$14,000,000 ",Operating,Series A,"$12,000,000 ",2017-03-21
Plaid,2012-01-01,,4,2016-06-19,"$44,000,000 ","$59,300,000 ",Operating,Seed,"$2,800,000 ",2013-09-19
Plaid,2012-01-01,,4,2016-06-19,"$44,000,000 ","$59,300,000 ",Operating,Series A,"$12,500,000 ",2014-11-15
Plaid,2012-01-01,,4,2016-06-19,"$44,000,000 ","$59,300,000 ",Operating,Series B,"$44,000,000 ",2016-06-19
Plandree,2012-09-10,,2,2012-12-20,"$50,000 ","$62,000 ",Operating,Seed,"$50,000 ",2012-12-20
Plandree,2012-09-10,,2,2012-12-20,"$50,000 ","$62,000 ",Operating,Seed,"$12,000 ",2012-08-20
Planet Fundraiser,2015-08-01,,2,2017-04-10,"$1,000,000 ","$1,000,000 ",Operating,Seed,"$1,000,000 ",2017-04-10
PlanetRisk,2014-01-01,,2,2016-08-17,"$4,750,042 ","$7,250,058 ",Operating,Series A,"$4,750,042 ",2016-08-17
Plant Prefab,2015-01-01,,1,2016-06-24,"$3,000,000 ","$3,000,000 ",Operating,Seed,"$3,000,000 ",2016-06-24
Plasso,2013-10-01,,1,2016-09-14,"$1,200,000 ","$1,200,000 ",Operating,Seed,"$1,200,000 ",2016-09-14
Plasticity,2016-01-01,,1,2017-07-01,"$120,000 ","$120,000 ",Operating,Seed,"$120,000 ",2017-07-01
Plate IQ,2014-01-01,,2,2017-03-20,"$4,000,000 ","$4,500,000 ",Operating,Seed,"$4,000,000 ",2017-03-20
PlateJoy,2013-01-01,,2,2015-04-29,"$1,700,000 ","$1,700,000 ",Operating,Seed,"$1,700,000 ",2015-04-29
Plated,2012-01-01,,8,2015-07-16,"$35,000,000 ","$56,400,000 ",Operating,Seed,"$1,400,000 ",2013-05-09
Plated,2012-01-01,,8,2015-07-16,"$35,000,000 ","$56,400,000 ",Operating,Series A,"$15,000,000 ",2014-08-09
Plated,2012-01-01,,8,2015-07-16,"$35,000,000 ","$56,400,000 ",Operating,Series A,"$5,000,000 ",2014-01-06
Plated,2012-01-01,,8,2015-07-16,"$35,000,000 ","$56,400,000 ",Operating,Series B,"$35,000,000 ",2015-07-16
Platelet BioGenesis,2014-01-01,,2,2017-06-08,"$10,000,000 ","$11,133,794 ",Operating,Series A,"$10,000,000 ",2017-06-08
Platform9 Systems,2013-01-01,,3,2017-06-28,"$22,000,000 ","$36,500,000 ",Operating,Series A,"$4,500,000 ",2014-08-12
Platform9 Systems,2013-01-01,,3,2017-06-28,"$22,000,000 ","$36,500,000 ",Operating,Series B,"$10,000,000 ",2015-08-17
Platform9 Systems,2013-01-01,,3,2017-06-28,"$22,000,000 ","$36,500,000 ",Operating,Series C,"$22,000,000 ",2017-06-28
Platina Systems,2014-01-01,,3,2017-01-01,"$8,000,000 ","$9,500,000 ",Operating,Series A,"$8,000,000 ",2017-01-01
Plato,2014-01-01,,1,2016-12-08,"$3,000,000 ","$3,000,000 ",Operating,Seed,"$3,000,000 ",2016-12-08
Play Piper,2014-02-13,,3,2016-06-21,"$2,100,000 ","$2,430,000 ",Operating,Seed,"$2,100,000 ",2016-06-21
"PlayFab, Inc.",2014-01-01,,3,2016-12-01,"$3,100,000 ","$13,000,000 ",Operating,Seed,"$2,500,000 ",2014-08-19
"PlayFab, Inc.",2014-01-01,,3,2016-12-01,"$3,100,000 ","$13,000,000 ",Operating,Series B,"$3,100,000 ",2016-12-01
PlayFitness,2012-03-16,,1,2012-07-01,"$49,500 ","$49,500 ",Operating,Seed,"$49,500 ",2012-07-01
Playbuzz,2012-07-07,,4,2016-03-31,"$15,000,000 ","$31,000,000 ",Operating,Seed,"$800,000 ",2012-12-10
Playbuzz,2012-07-07,,4,2016-03-31,"$15,000,000 ","$31,000,000 ",Operating,Series A,"$3,000,000 ",2014-06-16
Playbuzz,2012-07-07,,4,2016-03-31,"$15,000,000 ","$31,000,000 ",Operating,Series B,"$12,200,000 ",2015-03-18
Playbuzz,2012-07-07,,4,2016-03-31,"$15,000,000 ","$31,000,000 ",Operating,Series C,"$15,000,000 ",2016-03-31
Playdots,2013-04-01,,1,2014-12-16,"$10,200,000 ","$10,200,000 ",Operating,Series A,"$10,200,000 ",2014-12-16
Players' Lounge,2014-10-01,,3,2016-12-13,"$20,000 ","$20,000 ",Operating,Seed,"$20,000 ",2016-12-13
Playful,2012-01-01,,1,2015-10-25,"$25,000,000 ","$25,000,000 ",Operating,Series B,"$25,000,000 ",2015-10-25
Plays.tv,2017-01-01,,1,2017-02-16,"$15,000,000 ","$15,000,000 ",Operating,Series A,"$15,000,000 ",2017-02-16
Plazah,2016-01-01,,1,2017-05-30,"$1,000,000 ","$1,000,000 ",Operating,Seed,"$1,000,000 ",2017-05-30
Pledgeling,2014-11-01,,1,2015-04-17,"$4,000,000 ","$4,000,000 ",Operating,Seed,"$4,000,000 ",2015-04-17
Plenty Inc.,2014-08-21,,3,2017-07-19,"$200,000,000 ","$226,000,000 ",Operating,Series A,"$24,500,000 ",2016-07-15
Plenty Inc.,2014-08-21,,3,2017-07-19,"$200,000,000 ","$226,000,000 ",Operating,Series B,"$200,000,000 ",2017-07-19
Pley,2013-05-01,,2,2015-02-02,"$10,000,000 ","$16,750,000 ",Operating,Series A,"$6,750,000 ",2014-03-20
Pley,2013-05-01,,2,2015-02-02,"$10,000,000 ","$16,750,000 ",Operating,Series B,"$10,000,000 ",2015-02-02
Pliant Therapeutics,2016-02-01,,1,2016-02-18,"$45,000,000 ","$45,000,000 ",Operating,Series A,"$45,000,000 ",2016-02-18
Plot,2016-01-01,,1,2016-11-18,"$150,000 ","$150,000 ",Operating,Seed,"$150,000 ",2016-11-18
Plum,2015-01-01,,1,2017-07-13,"$9,000,000 ","$9,000,000 ",Operating,Seed,"$200,000 ",2012-08-01
Plum,2015-01-01,,1,2017-07-13,"$9,000,000 ","$9,000,000 ",Operating,Series A,"$9,000,000 ",2017-07-13
Pluma,2016-01-01,,1,2017-05-08,"$150,000 ","$150,000 ",Operating,Seed,"$150,000 ",2017-05-08
Plume Design Inc.,2014-01-01,,2,2017-04-11,"$37,500,000 ","$42,157,341 ",Operating,Seed,"$4,657,341 ",2016-01-25
Plume Design Inc.,2014-01-01,,2,2017-04-11,"$37,500,000 ","$42,157,341 ",Operating,Series A,"$37,500,000 ",2017-04-11
PlusN (+n ),2012-01-01,,3,2016-01-01,"$500,000 ","$1,700,000 ",Operating,Seed,"$600,000 ",2012-08-29
PlushCare,2014-01-01,,1,2016-11-03,"$8,000,000 ","$8,000,000 ",Operating,Series A,"$8,000,000 ",2016-11-03
Pluto AI,2016-01-01,,2,2017-03-22,"$2,100,000 ","$2,100,000 ",Operating,Seed,"$2,100,000 ",2017-03-22
Pluto VR,2015-01-01,,1,2017-04-13,"$13,900,000 ","$13,900,000 ",Operating,Series A,"$13,900,000 ",2017-04-13
Plutus Edge,2017-01-01,,2,2017-05-01,"$25,000 ","$50,000 ",Operating,Seed,"$25,000 ",2017-05-01
Pocket Points,2014-04-01,,3,2016-05-12,"$842,203 ","$1,467,203 ",Operating,Seed,"$842,203 ",2016-05-12
Pocketlab,2015-01-01,,2,2015-08-03,"$100,000 ","$135,693 ",Operating,Seed,"$100,000 ",2015-08-03
"Pocketwatch, Inc.",2017-01-01,,1,2017-03-22,"$6,000,000 ","$6,000,000 ",Operating,Series A,"$6,000,000 ",2017-03-22
Podium,2014-01-01,,3,2017-05-09,"$32,000,000 ","$32,620,000 ",Operating,Seed,"$120,000 ",2016-03-01
Podium,2014-01-01,,3,2017-05-09,"$32,000,000 ","$32,620,000 ",Operating,Series A,"$32,000,000 ",2017-05-09
Podium Data,2014-01-01,,2,2016-09-26,"$9,700,000 ","$11,700,000 ",Operating,Series A,"$9,700,000 ",2016-09-26
Podo Labs,2013-01-01,,8,2015-05-01,"$1,120,000 ","$3,464,000 ",Operating,Seed,"$1,120,000 ",2015-05-01
Point,2014-05-01,,1,2015-05-01,"$125,000 ","$125,000 ",Operating,Series A,"$8,400,000 ",2016-09-13
Point.io,2013-01-01,,3,2015-04-08,"$4,000,000 ","$6,250,000 ",Operating,Series B,"$4,000,000 ",2015-04-08
Polar,2013-01-01,,2,2014-02-13,"$1,680,000 ","$2,880,000 ",Was Acquired,Seed,"$1,200,000 ",2013-02-25
Polarity,2014-11-26,,1,2017-02-27,"$3,500,000 ","$3,500,000 ",Operating,Series A,"$3,500,000 ",2017-02-27
Poliana,2013-01-01,2015-01-01,1,2013-08-07,"$15,000 ","$15,000 ",Closed,Seed,"$15,000 ",2013-08-07
PolicyGenius,2014-07-01,,4,2017-05-24,"$30,000,000 ","$51,050,000 ",Operating,Series B,"$15,000,000 ",2016-01-14
PolicyGenius,2014-07-01,,4,2017-05-24,"$30,000,000 ","$51,050,000 ",Operating,Series C,"$30,000,000 ",2017-05-24
Polis App,2015-01-01,,1,2017-03-17,"$1,300,000 ","$1,300,000 ",Operating,Seed,"$1,300,000 ",2017-03-17
Political Matchmakers,2012-02-01,,1,2012-02-15,"$75,000 ","$75,000 ",Operating,Seed,"$75,000 ",2012-02-15
Polku,2012-01-01,,6,2015-09-07,"$1,000,000 ","$1,999,440 ",Was Acquired,Seed,"$67,000 ",2012-06-01
PollVaultr,2012-01-01,,1,2012-05-30,"$60,000 ","$60,000 ",Closed,Seed,"$60,000 ",2012-05-30
Polly Portfolio,2014-09-26,,3,2017-01-31,"$245,000 ","$3,147,500 ",Operating,Seed,"$2,052,500 ",2014-04-12
Polly Portfolio,2014-09-26,,3,2017-01-31,"$245,000 ","$3,147,500 ",Operating,Seed,"$245,000 ",2017-01-31
Polyarc,2015-01-01,,1,2016-09-01,"$3,500,000 ","$3,500,000 ",Operating,Seed,"$3,500,000 ",2016-09-01
Polybit,2016-02-23,,1,2017-06-27,"$2,000,000 ","$2,000,000 ",Operating,Seed,"$2,000,000 ",2017-06-27
PolyceramX,2016-01-01,,1,2017-06-13,"$50,000 ","$50,000 ",Operating,Seed,"$50,000 ",2017-06-13
Polygram,2017-01-01,,1,2017-08-25,"$2,100,000 ","$2,100,000 ",Operating,Seed,"$2,100,000 ",2017-08-25
Polymail,2015-10-01,,2,2016-10-31,"$700,000 ","$820,000 ",Operating,Seed,"$700,000 ",2016-10-31
Poncho,2013-04-01,,2,2017-08-14,"$2,400,000 ","$4,400,000 ",Operating,Seed,"$2,400,000 ",2017-08-14
Poncho,2013-04-01,,2,2017-08-14,"$2,400,000 ","$4,400,000 ",Operating,Seed,"$2,000,000 ",2016-04-28
PopUp,2012-09-01,,2,2013-09-01,"$650,000 ","$831,000 ",Operating,Seed,"$650,000 ",2013-09-01
PopUp,2012-09-01,,2,2013-09-01,"$650,000 ","$831,000 ",Operating,Seed,"$181,000 ",2012-09-01
PopUpsters,2013-10-15,,1,2014-06-11,"$20,000 ","$20,000 ",Operating,Seed,"$20,000 ",2014-06-11
Popflight,2016-02-01,,1,2017-01-01,"$100,000 ","$100,000 ",Operating,Seed,"$100,000 ",2017-01-01
Poptip,2012-01-01,,3,2013-06-01,"$1,300,000 ","$2,410,000 ",Was Acquired,Seed,"$638,000 ",2012-03-01
Popular Pays,2013-05-01,,5,2017-04-10,"$3,200,000 ","$5,520,000 ",Operating,Series A,"$3,200,000 ",2017-04-10
Popular Pays,2013-05-01,,5,2017-04-10,"$3,200,000 ","$5,520,000 ",Operating,Series A,"$2,000,000 ",2015-07-23
Popwallet,2015-07-22,,2,2017-05-15,"$200,000 ","$1,200,000 ",Operating,Seed,"$1,000,000 ",2017-01-09
Popwallet,2015-07-22,,2,2017-05-15,"$200,000 ","$1,200,000 ",Operating,Seed,"$200,000 ",2017-05-15
Porch,2012-01-01,,3,2015-01-20,"$65,000,000 ","$98,850,000 ",Operating,Seed,"$6,250,000 ",2013-06-05
Porch,2012-01-01,,3,2015-01-20,"$65,000,000 ","$98,850,000 ",Operating,Series A,"$27,600,000 ",2014-09-17
Porch,2012-01-01,,3,2015-01-20,"$65,000,000 ","$98,850,000 ",Operating,Series B,"$65,000,000 ",2015-01-20
Portable Scores,2012-02-11,,1,2012-03-01,"$25,000 ","$25,000 ",Operating,Seed,"$25,000 ",2012-03-01
Portal Instruments,2012-01-01,,2,2015-10-20,"$25,000,000 ","$36,000,000 ",Operating,Series A,"$11,000,000 ",2014-10-15
Portal Instruments,2012-01-01,,2,2015-10-20,"$25,000,000 ","$36,000,000 ",Operating,Series B,"$25,000,000 ",2015-10-20
Portent.IO,2014-01-01,,1,2015-01-30,"$300,000 ","$300,000 ",Operating,Seed,"$300,000 ",2015-01-30
Portfolia,2012-01-01,,1,2014-08-07,"$1,500,000 ","$1,500,000 ",Operating,Series A,"$1,500,000 ",2014-08-07
Portfolium,2014-01-01,,4,2016-09-12,"$5,350,000 ","$7,450,000 ",Operating,Seed,"$900,000 ",2014-07-31
Portfolium,2014-01-01,,4,2016-09-12,"$5,350,000 ","$7,450,000 ",Operating,Series A,"$5,350,000 ",2016-09-12
Porticor Cloud Security,2012-02-15,,2,2013-07-18,"$2,000,000 ","$3,500,000 ",Was Acquired,Series A,"$1,500,000 ",2012-02-19
Porticor Cloud Security,2012-02-15,,2,2013-07-18,"$2,000,000 ","$3,500,000 ",Was Acquired,Series B,"$2,000,000 ",2013-07-18
Portworx,2014-01-01,,2,2017-04-05,"$20,000,000 ","$28,500,000 ",Operating,Series B,"$20,000,000 ",2017-04-05
Poseida Therapeutics,2015-01-01,,1,2015-12-23,"$23,033,232 ","$23,033,232 ",Operating,Series A,"$23,033,232 ",2015-12-23
PoshPacker,2013-01-01,,3,2015-10-13,"$130,000 ","$200,000 ",Operating,Seed,"$130,000 ",2015-10-13
Position Health,2015-01-01,,1,2015-07-01,"$20,000 ","$20,000 ",Operating,Seed,"$20,000 ",2015-07-01
PostProcess Technologies,2012-01-01,,1,2017-04-26,"$4,000,000 ","$4,000,000 ",Operating,Seed,"$4,000,000 ",2017-04-26
Postman,2014-09-01,,2,2016-10-13,"$7,000,000 ","$8,000,000 ",Operating,Seed,"$1,000,000 ",2015-05-26
Postman,2014-09-01,,2,2016-10-13,"$7,000,000 ","$8,000,000 ",Operating,Series A,"$7,000,000 ",2016-10-13
PotGuide,2013-09-01,,2,2015-10-01,"$40,000 ","$60,000 ",Operating,Seed,"$40,000 ",2015-10-01
PotGuide,2013-09-01,,2,2015-10-01,"$40,000 ","$60,000 ",Operating,Seed,"$20,000 ",2015-04-01
Potrero Medical,2012-01-01,,1,2016-09-14,"$5,000,000 ","$5,000,000 ",Operating,Series A,"$5,000,000 ",2016-09-14
PowWow Energy,2013-01-01,,1,2015-06-15,"$3,000,000 ","$3,000,000 ",Operating,Seed,"$3,000,000 ",2015-06-15
PowWow Mobile Inc,2012-09-01,,3,2016-05-04,"$4,250,000 ","$8,272,000 ",Operating,Seed,"$4,250,000 ",2016-05-04
PowWow Mobile Inc,2012-09-01,,3,2016-05-04,"$4,250,000 ","$8,272,000 ",Operating,Seed,"$2,622,000 ",2015-02-20
PowerPost,2016-03-01,,1,2017-04-17,"$2,000,000 ","$2,000,000 ",Operating,Seed,"$2,000,000 ",2017-04-17
PoweredAnalytics,2013-01-01,,1,2013-02-06,"$25,000 ","$25,000 ",Was Acquired,Seed,"$25,000 ",2013-02-06
Powerlinx,2012-12-01,,2,2016-07-27,"$7,000,000 ","$9,400,000 ",IPO,Seed,"$2,400,000 ",2012-02-01
Powerlinx,2012-12-01,,2,2016-07-27,"$7,000,000 ","$9,400,000 ",IPO,Series A,"$7,000,000 ",2016-07-27
Poynt,2013-01-01,,2,2015-10-22,"$28,000,000 ","$28,000,000 ",IPO,Series B,"$28,000,000 ",2015-10-22
Pramp,2015-12-01,,1,2016-02-01,"$120,000 ","$120,000 ",Operating,Seed,"$120,000 ",2016-02-01
Prattle Analytics,2013-01-01,,1,2017-01-24,"$3,300,000 ","$3,300,000 ",Operating,Seed,"$3,300,000 ",2017-01-24
Prattler,2015-06-01,,1,2016-05-01,"$35,000 ","$35,000 ",Operating,Seed,"$35,000 ",2016-05-01
Pray.com,2016-01-01,,1,2017-06-29,"$2,000,000 ","$2,000,000 ",Operating,Seed,"$2,000,000 ",2017-06-29
Prayas Analytics,2014-01-01,,2,2015-09-15,"$1,000,000 ","$1,000,000 ",Operating,Seed,"$1,000,000 ",2015-09-15
PreApps,2012-06-01,,3,2013-03-03,"$10,000 ","$160,000 ",Operating,Seed,"$150,000 ",2012-11-15
PreApps,2012-06-01,,3,2013-03-03,"$10,000 ","$160,000 ",Operating,Seed,"$10,000 ",2013-03-03
PreDxion Bio,2016-02-02,,2,2017-07-01,"$120,000 ","$120,000 ",Operating,Seed,"$120,000 ",2017-07-01
PreNav,2013-10-01,,3,2016-08-24,"$4,000,000 ","$6,503,000 ",Operating,Seed,"$4,000,000 ",2016-08-24
PreNav,2013-10-01,,3,2016-08-24,"$4,000,000 ","$6,503,000 ",Operating,Seed,"$1,750,000 ",2016-03-15
Precise Real Estate Solutions,2017-06-01,,1,2017-06-19,"$1,500,000 ","$1,500,000 ",Operating,Series A,"$1,500,000 ",2017-06-19
Precognitive Inc,2016-01-01,,1,2017-05-19,"$1,250,000 ","$1,250,000 ",Operating,Seed,"$1,250,000 ",2017-05-19
PredictSpring,2013-03-01,,3,2016-06-28,"$11,400,000 ","$13,250,000 ",Operating,Series A,"$11,400,000 ",2016-06-28
PredictionIO,2013-01-01,,2,2014-07-17,"$2,500,000 ","$2,650,000 ",Was Acquired,Seed,"$2,500,000 ",2014-07-17
PredictionIO,2013-01-01,,2,2014-07-17,"$2,500,000 ","$2,650,000 ",Was Acquired,Seed,"$150,000 ",2013-11-13
Predikto,2013-04-01,,3,2017-02-18,"$4,000,000 ","$7,625,000 ",Operating,Series A,"$4,000,000 ",2017-02-18
Preempt Security,2014-01-01,,2,2016-04-21,"$8,000,000 ","$10,000,000 ",Operating,Series A,"$8,000,000 ",2016-04-21
Preesale,2015-01-01,,1,2016-07-01,"$200,000 ","$200,000 ",Operating,Seed,"$200,000 ",2016-07-01
Premise,2012-01-01,,4,2015-09-24,"$50,000,000 ","$61,000,000 ",Operating,Series B,"$11,000,000 ",2014-03-13
Premise,2012-01-01,,4,2015-09-24,"$50,000,000 ","$61,000,000 ",Operating,Series C,"$50,000,000 ",2015-09-24
Premonition,2014-03-01,,2,2015-11-04,"$2,000,000 ","$5,000,000 ",Operating,Seed,"$3,000,000 ",2015-10-03
Prenovate,2014-06-01,,1,2015-06-07,"$20,000 ","$20,000 ",Operating,Seed,"$20,000 ",2015-06-07
PreparedHealth,2015-01-01,,2,2017-05-02,"$4,000,000 ","$4,197,000 ",Operating,Seed,"$4,000,000 ",2017-05-02
Prepify,2014-01-01,,1,2014-05-19,"$20,000 ","$20,000 ",Operating,Seed,"$20,000 ",2014-05-19
Prescient,2013-01-01,,3,2017-04-25,"$40,000,000 ","$53,000,000 ",Operating,Series A,"$3,000,000 ",2013-11-20
Prescient,2013-01-01,,3,2017-04-25,"$40,000,000 ","$53,000,000 ",Operating,Series B,"$10,000,000 ",2014-09-01
Prescient,2013-01-01,,3,2017-04-25,"$40,000,000 ","$53,000,000 ",Operating,Series D,"$40,000,000 ",2017-04-25
Prescient Surgical,2012-01-01,,1,2014-10-28,"$6,014,157 ","$6,014,157 ",Operating,Series A,"$6,014,157 ",2014-10-28
Presentr,2013-03-01,,4,2017-01-01,"$1,200,000 ","$1,790,000 ",Operating,Seed,"$1,200,000 ",2017-01-01
Presto Media,2016-05-10,,1,2016-09-19,"$250,000 ","$250,000 ",Operating,Seed,"$250,000 ",2016-09-19
Pretty in my Pocket (PRIMP),2012-02-01,,1,2012-10-15,"$359,245 ","$359,245 ",Operating,Seed,"$359,245 ",2012-10-15
Prevailing Path,2016-12-12,,1,2016-12-12,"$200,000 ","$200,000 ",Operating,Seed,"$200,000 ",2016-12-12
Prevedere,2012-01-25,,4,2017-03-09,"$10,700,000 ","$20,251,530 ",Operating,Seed,"$2,575,000 ",2012-02-28
Prevedere,2012-01-25,,4,2017-03-09,"$10,700,000 ","$20,251,530 ",Operating,Series A,"$6,976,530 ",2015-06-30
Prevedere,2012-01-25,,4,2017-03-09,"$10,700,000 ","$20,251,530 ",Operating,Series B,"$10,700,000 ",2017-03-09
Prevently,2012-09-01,,6,2013-12-17,"$168,000 ","$2,205,500 ",Operating,Series A,"$168,000 ",2013-12-17
Prevoty,2013-03-01,,3,2015-03-11,"$8,000,000 ","$12,827,000 ",Operating,Series A,"$8,000,000 ",2015-03-11
Primary,2015-03-31,,2,2016-06-07,"$8,000,000 ","$8,000,000 ",Operating,Series A,"$8,000,000 ",2016-06-07
Primary Data,2013-01-01,,4,2017-08-02,"$20,000,000 ","$100,000,000 ",Operating,Series B,"$50,000,000 ",2013-10-30
Primary Data,2013-01-01,,4,2017-08-02,"$20,000,000 ","$100,000,000 ",Operating,Series B,"$20,000,000 ",2017-08-02
Primary Data,2013-01-01,,4,2017-08-02,"$20,000,000 ","$100,000,000 ",Operating,Series B,"$10,000,000 ",2014-02-10
PrimaryIO,2014-01-01,,1,2017-08-25,"$5,600,000 ","$5,600,000 ",Operating,Seed,"$5,600,000 ",2017-08-25
PrintLess Plans,2012-01-01,,1,2013-07-01,"$100,000 ","$100,000 ",Operating,Seed,"$100,000 ",2013-07-01
Prism IO,2015-01-01,,1,2017-07-01,"$120,000 ","$120,000 ",Operating,Seed,"$120,000 ",2017-07-01
Prisyna,2013-01-01,,1,2016-04-28,"$6,000,000 ","$6,000,000 ",Operating,Seed,"$6,000,000 ",2016-04-28
PrivMe,2014-11-15,,1,2016-07-07,"$10,000 ","$10,000 ",Operating,Seed,"$10,000 ",2016-07-07
Privacy,2014-01-01,,1,2016-12-13,"$2,200,000 ","$2,200,000 ",Operating,Seed,"$2,200,000 ",2016-12-13
Privacy Labs,2016-04-01,,1,2017-02-23,"$4,000,000 ","$4,000,000 ",Operating,Seed,"$4,000,000 ",2017-02-23
Private.Me,2012-01-01,,1,2013-09-01,"$180,000 ","$180,000 ",Operating,Seed,"$180,000 ",2013-09-01
ProBueno,2012-01-01,,1,2013-03-11,"$340,000 ","$340,000 ",Operating,Seed,"$340,000 ",2013-03-11
ProDay,2015-08-01,,1,2015-08-24,"$20,000 ","$20,000 ",Operating,Seed,"$20,000 ",2015-08-24
ProSky,2014-01-01,,3,2015-12-15,"$2,300,000 ","$2,675,000 ",Operating,Seed,"$2,300,000 ",2015-12-15
ProTrakr,2014-01-01,,2,2017-06-12,"$100,000 ","$100,000 ",Operating,Seed,"$100,000 ",2017-06-12
Process Street,2014-01-01,,2,2017-01-18,"$1,300,000 ","$1,358,000 ",Operating,Seed,"$1,300,000 ",2017-01-18
ProctorFree,2012-01-01,,2,2017-03-31,"$1,543,625 ","$2,833,875 ",Operating,Seed,"$1,543,625 ",2017-03-31
ProctorFree,2012-01-01,,2,2017-03-31,"$1,543,625 ","$2,833,875 ",Operating,Seed,"$1,290,250 ",2016-01-26
Procured Health,2012-01-01,,3,2016-06-14,"$10,000,000 ","$15,100,000 ",Operating,Seed,"$1,100,000 ",2012-08-03
Procured Health,2012-01-01,,3,2016-06-14,"$10,000,000 ","$15,100,000 ",Operating,Series A,"$4,000,000 ",2014-03-20
