Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date
ACV Auctions,2014-01-01,,4,2017-03-08,"$15,000,000 ","$21,600,000 ",Operating,Series B,"$5,000,000 ",2016-09-19
ADEXT,2016-01-01,,1,2016-12-01,"$3,000,000 ","$3,000,000 ",Operating,Seed,"$3,000,000 ",2016-12-01
ADSHIFT,2013-01-01,,1,2016-02-23,"$650,000 ","$650,000 ",Was Acquired,Seed,"$650,000 ",2016-02-23
ADVANO,2014-01-01,,3,2017-07-01,"$120,000 ","$890,000 ",Operating,Seed,"$620,000 ",2017-03-16
ADVANO,2014-01-01,,3,2017-07-01,"$120,000 ","$890,000 ",Operating,Seed,"$150,000 ",2016-05-01
ADVANO,2014-01-01,,3,2017-07-01,"$120,000 ","$890,000 ",Operating,Seed,"$120,000 ",2017-07-01
AET Hosting Solutions,2014-06-01,,1,2014-10-18,"$3,000,000 ","$3,000,000 ",Operating,Seed,"$3,000,000 ",2014-10-18
"AEye, Inc.",2013-02-19,,2,2017-06-13,"$16,350,000 ","$19,435,591 ",Operating,Seed,"$3,085,591 ",2016-03-31
"AEye, Inc.",2013-02-19,,2,2017-06-13,"$16,350,000 ","$19,435,591 ",Operating,Series A,"$16,350,000 ",2017-06-13
AFINITY,2013-08-12,,3,2015-02-10,"$500,000 ","$1,200,000 ",Operating,Seed,"$500,000 ",2014-02-20
AFINITY,2013-08-12,,3,2015-02-10,"$500,000 ","$1,200,000 ",Operating,Seed,"$500,000 ",2015-02-10
AFINITY,2013-08-12,,3,2015-02-10,"$500,000 ","$1,200,000 ",Operating,Seed,"$200,000 ",2014-01-06
AGI Innovations Inc.,2013-08-29,,1,2013-08-29,"$4,000,000 ","$4,000,000 ",Operating,Seed,"$4,000,000 ",2013-08-29
AI Patents,2012-01-01,,1,2012-08-27,"$50,000 ","$50,000 ",Operating,Seed,"$50,000 ",2012-08-27
AIIeyWatch,2012-10-01,,1,2012-10-15,"$40,000 ","$40,000 ",Operating,Seed,"$40,000 ",2012-10-15
AIQUEOUS,2015-01-01,,1,2017-05-25,"$250,000 ","$250,000 ",Operating,Seed,"$250,000 ",2017-05-25
"AIR.TV (Air Media, Inc.)",2014-01-01,,4,2015-04-28,"$3,320,000 ","$6,220,000 ",Operating,Seed,"$2,000,000 ",2014-10-17
"AIR.TV (Air Media, Inc.)",2014-01-01,,4,2015-04-28,"$3,320,000 ","$6,220,000 ",Operating,Series A,"$3,320,000 ",2015-04-28
AIRVEND,2012-01-01,,1,2014-01-02,"$1,200,000 ","$1,200,000 ",Operating,Seed,"$1,200,000 ",2014-01-02
AISense Inc.,2016-02-01,,2,2017-05-01,"$8,200,000 ","$11,200,000 ",Operating,Seed,"$3,000,000 ",2016-09-15
AISense Inc.,2016-02-01,,2,2017-05-01,"$8,200,000 ","$11,200,000 ",Operating,Series A,"$8,200,000 ",2017-05-01
AKUA,2015-01-01,,1,2017-05-15,"$3,000,000 ","$3,000,000 ",Operating,Seed,"$3,000,000 ",2017-05-15
ALICE,2012-07-01,,3,2016-01-19,"$9,500,000 ","$13,000,000 ",Operating,Seed,"$3,000,000 ",2015-02-09
ALICE,2012-07-01,,3,2016-01-19,"$9,500,000 ","$13,000,000 ",Operating,Series A,"$9,500,000 ",2016-01-19
ALL DAY MEDIA,2013-01-01,,1,2016-08-02,"$2,301,600 ","$2,301,600 ",Operating,Seed,"$2,301,600 ",2016-08-02
AMP Robotics,2015-01-01,,2,2015-05-14,"$98,250 ","$248,250 ",Operating,Seed,"$150,000 ",2015-01-01
AMP Robotics,2015-01-01,,2,2015-05-14,"$98,250 ","$248,250 ",Operating,Seed,"$98,250 ",2015-05-14
AMPY,2013-01-16,,2,2015-10-22,"$875,000 ","$950,000 ",Operating,Seed,"$875,000 ",2015-10-22
AMPY,2013-01-16,,2,2015-10-22,"$875,000 ","$950,000 ",Operating,Seed,"$75,000 ",2014-04-07
AMS-Qi,2012-01-01,,1,2013-10-30,"$50,000 ","$50,000 ",Operating,Seed,"$50,000 ",2013-10-30
AND CO,2014-01-01,,2,2016-03-28,"$2,000,000 ","$2,500,000 ",Operating,Seed,"$2,000,000 ",2016-03-28
AOBiome,2013-01-01,,4,2017-01-05,"$30,000,000 ","$38,706,513 ",Operating,Seed,"$630,000 ",2013-03-21
AOBiome,2013-01-01,,4,2017-01-05,"$30,000,000 ","$38,706,513 ",Operating,Series B,"$7,500,000 ",2014-12-31
AOBiome,2013-01-01,,4,2017-01-05,"$30,000,000 ","$38,706,513 ",Operating,Series C,"$30,000,000 ",2017-01-05
APANA,2012-12-31,,1,2017-01-17,"$3,500,000 ","$3,500,000 ",Operating,Series A,"$3,500,000 ",2017-01-17
