Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date,UUID,Homepage
ADEXT,2016-01-01,,1,2016-12-01,3000000,3000000,Operating,Seed,3000000,2016-12-01,9d6e7fe4-eca5-e9d3-5469-0e9b9c13f587,https://adext.com/en
ADSHIFT,2013-01-01,,1,2016-02-23,650000,650000,Was Acquired,Seed,650000,2016-02-23,360b3ff4-56ea-7268-78f6-c01978e94f60,https://adshift.com/
ADVANO,2014-01-01,,3,2017-07-01,120000,890000,Operating,Seed,620000,2017-03-16,054fb026-c081-c70b-8e56-a111a5ce7a33,http://advanotech.com
ADVANO,2014-01-01,,3,2017-07-01,120000,890000,Operating,Seed,150000,2016-05-01,054fb026-c081-c70b-8e56-a111a5ce7a33,http://advanotech.com
ADVANO,2014-01-01,,3,2017-07-01,120000,890000,Operating,Seed,120000,2017-07-01,054fb026-c081-c70b-8e56-a111a5ce7a33,http://advanotech.com
AET Hosting Solutions,2014-06-01,,1,2014-10-18,3000000,3000000,Operating,Seed,3000000,2014-10-18,659373c2-8d73-84a7-0d6c-0a06e09181b2,http://www.aethosting.com
"AEye, Inc.",2013-02-19,,2,2017-06-13,16350000,19435591,Operating,Seed,3085591,2016-03-31,45ea769b-96ac-225a-623c-4ce674f7a589,http://www.aeye.ai
"AEye, Inc.",2013-02-19,,2,2017-06-13,16350000,19435591,Operating,Series A,16350000,2017-06-13,45ea769b-96ac-225a-623c-4ce674f7a589,http://www.aeye.ai
AFINITY,2013-08-12,,3,2015-02-10,500000,1200000,Operating,Seed,500000,2014-02-20,9d34ec20-d1af-16ba-a3eb-1aaf95fc856c,http://afty.co
AFINITY,2013-08-12,,3,2015-02-10,500000,1200000,Operating,Seed,500000,2015-02-10,9d34ec20-d1af-16ba-a3eb-1aaf95fc856c,http://afty.co
AFINITY,2013-08-12,,3,2015-02-10,500000,1200000,Operating,Seed,200000,2014-01-06,9d34ec20-d1af-16ba-a3eb-1aaf95fc856c,http://afty.co
AGI Innovations Inc.,2013-08-29,,1,2013-08-29,4000000,4000000,Operating,Seed,4000000,2013-08-29,6ba01ff6-2f4e-9a1d-cb21-a3a79b6335b9,http://www.agi-3.com
AI Patents,2012-01-01,,1,2012-08-27,50000,50000,Operating,Seed,50000,2012-08-27,4e8c5bfb-35a8-e0b3-fb2b-0b25384af062,http://www.aipatents.com
AIIeyWatch,2012-10-01,,1,2012-10-15,40000,40000,Operating,Seed,40000,2012-10-15,50ffc726-2e1c-b97e-1d25-6d5416fcee51,http://www.alleywatch.com
AIQUEOUS,2015-01-01,,1,2017-05-25,250000,250000,Operating,Seed,250000,2017-05-25,c4250a36-8f71-c964-9279-e3d25d857f5f,http://www.aiqueous.com/
"AIR.TV (Air Media, Inc.)",2014-01-01,,4,2015-04-28,3320000,6220000,Operating,Seed,2000000,2014-10-17,13be57c2-10f0-fd39-d06c-6d261fe8d0b9,http://www.air.tv
"AIR.TV (Air Media, Inc.)",2014-01-01,,4,2015-04-28,3320000,6220000,Operating,Series A,3320000,2015-04-28,13be57c2-10f0-fd39-d06c-6d261fe8d0b9,http://www.air.tv
AIRVEND,2012-01-01,,1,2014-01-02,1200000,1200000,Operating,Seed,1200000,2014-01-02,fb860b24-92c2-ad75-56ad-884b3ad4c181,http://www.air-vend.com
AISense Inc.,2016-02-01,,2,2017-05-01,8200000,11200000,Operating,Seed,3000000,2016-09-15,6bc21b9c-b705-a761-9155-08c83ffba9a8,http://www.aisense.com
AISense Inc.,2016-02-01,,2,2017-05-01,8200000,11200000,Operating,Series A,8200000,2017-05-01,6bc21b9c-b705-a761-9155-08c83ffba9a8,http://www.aisense.com
AKUA,2015-01-01,,1,2017-05-15,3000000,3000000,Operating,Seed,3000000,2017-05-15,96a89e19-5286-fd4b-6e6c-bc4363f94970,http://akua-llc.com/
