Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date,UUID,Homepage,Total Visits,Avg Visit Duration,Pages Per Visit,Bounce Rate
Campus Connectr,1/1/2013,,2,2/19/2014,286799,516799,Closed,Series A,286799,2/19/2014,1301ffc6538e646a838d636f36fb2ed2,http://www.campusconnectr.com,<12K,,,
Campus Quad,1/1/2012,9/24/2015,3,2/2/2015,5000000,6900000,Closed,Series A,5000000,2/2/2015,2f7660c5a09f384806f497c44bff3523,http://www.campusquad.co,<12K,0:09:56,3.1,
Careerflo,1/1/2013,6/30/2014,1,1/1/2013,100000,100000,Closed,Seed,100000,1/1/2013,0a80901a8d25833b677704f578519169,http://www.careerflo.com,<12K,,,
CasaHop,1/1/2012,,1,6/26/2012,1200000,1200000,Closed,Seed,1200000,6/26/2012,675e55f9c476e41a97e6121a61127998,http://casahop.com,<12K,,1,100.00%
Citybot,1/1/2012,1/1/2014,2,9/30/2012,750000,750000,Closed,Seed,750000,9/30/2012,e926df1375b38946484d881f55049f52,http://citybot.com,<12K,,1,100.00%
CloudAptitude,1/28/2012,,1,1/29/2012,15000,15000,Closed,Seed,15000,1/29/2012,00107fd1b65b85cd7d60c00c4b2ae2fb,http://cloudaptitude.com,<12K,,,
Coinex-IO,12/1/2013,8/20/2014,1,1/17/2014,20000,20000,Closed,Seed,20000,1/17/2014,073904652a9b9591507e455052d31bd0,http://coinex.io,<12K,,,
Compass Quality Insight Inc.,1/1/2012,,1,6/11/2013,2000000,2000000,Closed,Seed,2000000,6/11/2013,9f2ece217f39e9a299e02db3254f0967,http://compassquality.com,<12K,,,
Composure,1/1/2014,,1,4/3/2014,50000,50000,Closed,Seed,50000,4/3/2014,5efdfe4b428f899566236f26a9fe7b75,http://getcomposure.com/,<12K,,1,100.00%
Consano Medical Inc.,9/25/2012,,1,6/26/2014,3900000,3900000,Closed,Series A,3900000,6/26/2014,76f4193d4bb4113efa95a93bdeb0d10c,http://www.consanomed.com,<12K,,,
Consignd,1/1/2012,1/1/2014,1,1/7/2013,40000,40000,Closed,Seed,40000,1/7/2013,2ffae8cab34fc8682cb48339c8c4dd92,http://www.consignd.com,<12K,,1.08,92.04%
Cotap,5/1/2013,,2,1/28/2014,10000000,15500000,Closed,Series B,10000000,1/28/2014,2b8bed3bc8fda280097f85944ab8bb8c,https://www.zinc.it/,<12K,0:05:40,7.14,50.50%
Coupons Near Me,2/4/2013,7/1/2013,1,1/8/2013,10000,10000,Closed,Seed,10000,1/8/2013,973a4b108033b80fd0630ab1f5689d76,http://www.couponsnearme.com,<12K,,1,100.00%
CrowdHall,2/1/2012,7/1/2015,2,5/9/2013,700000,770000,Closed,Seed,70000,9/1/2012,3b419ba90ec2362ea7d46a3a125f7115,http://www.crowdhall.com,<12K,,,
CrowdPC,6/4/2012,9/1/2013,2,5/1/2013,600000,780000,Closed,Series A,600000,5/1/2013,06687b6000605cbcc58ee8378598d362,http://www.crowdpc.com,<12K,,,
"Crowdlaunch, Inc.",5/1/2015,,1,8/4/2015,5000,5000,Closed,Seed,5000,8/4/2015,1eb468c6982f97dd1dce688bbe4bbfea,http://www.crowdlaun.ch/,,,,
Cubikal,9/9/2012,10/1/2013,1,9/18/2012,10000,10000,Closed,Seed,10000,9/18/2012,5e1f65e85fc24fcbbab16129aca7c7c8,http://www.cubikal.com,<12K,,,
Cuff,1/1/2013,2/1/2016,2,1/6/2015,5000000,5000000,Closed,Series A,5000000,1/6/2015,e400e713c943c80c4ec12e2c6b5300df,http://www.cuff.io,<12K,0:00:24,1.79,64.82%
